WB2,MA1,HH6,HH7,windex5,religion,HL11,HL13,Dropout,helevel
15,0,2,20,3,1,1,1,2,1
15,0,2,20,3,1,1,1,2,1
15,0,2,20,3,1,1,1,2,1
15,0,2,20,3,1,1,1,2,1
15,0,2,20,3,1,1,1,2,1
17,1,2,20,3,1,1,1,2,1
16,1,2,20,3,1,1,1,2,1
15,1,2,20,3,1,1,1,2,1
16,0,1,20,3,1,1,1,2,1
16,1,1,20,3,1,1,1,2,1
17,0,2,10,3,1,1,1,2,1
16,0,2,10,3,1,1,1,2,1
15,0,2,10,3,1,1,1,2,1
15,0,2,10,3,1,1,1,2,1
17,1,2,10,3,1,1,1,2,1
17,1,2,10,3,1,1,1,2,1
17,1,2,10,3,1,1,1,2,1
17,1,2,10,3,1,1,1,2,1
17,0,1,10,3,1,1,1,2,1
17,1,2,55,2,4,1,1,2,1
17,0,2,60,2,2,1,1,2,1
16,0,2,60,2,2,1,1,2,1
16,0,2,60,2,2,1,1,2,1
16,0,2,60,2,2,1,1,2,1
15,0,2,60,2,2,1,1,2,1
15,0,2,60,2,2,1,1,2,1
17,1,2,55,2,2,1,1,2,1
16,0,2,50,2,2,1,1,2,1
15,0,2,50,2,2,1,1,2,1
15,0,2,40,2,2,1,1,2,1
15,0,1,40,2,2,1,1,2,1
16,0,2,20,2,2,1,1,2,1
15,0,2,20,2,2,1,1,2,1
17,0,2,60,2,1,1,1,2,1
17,0,2,60,2,1,1,1,2,1
17,0,2,60,2,1,1,1,2,1
17,0,2,60,2,1,1,1,2,1
17,0,2,60,2,1,1,1,2,1
17,0,2,60,2,1,1,1,2,1
17,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
16,0,2,60,2,1,1,1,2,1
15,0,2,60,2,1,1,1,2,1
15,0,2,60,2,1,1,1,2,1
15,0,2,60,2,1,1,1,2,1
15,0,2,60,2,1,1,1,2,1
15,0,2,60,2,1,1,1,2,1
15,0,2,60,2,1,1,1,2,1
17,1,2,60,2,1,1,1,2,1
17,0,1,60,2,1,1,1,2,1
17,0,1,60,2,1,1,1,2,1
17,0,2,55,2,1,1,1,2,1
16,0,2,55,2,1,1,1,2,1
16,0,2,55,2,1,1,1,2,1
16,0,2,55,2,1,1,1,2,1
16,0,2,55,2,1,1,1,2,1
16,0,2,55,2,1,1,1,2,1
16,0,2,55,2,1,1,1,2,1
15,0,2,55,2,1,1,1,2,1
15,0,2,55,2,1,1,1,2,1
15,0,2,55,2,1,1,1,2,1
17,1,2,55,2,1,1,1,2,1
17,1,2,55,2,1,1,1,2,1
17,1,2,55,2,1,1,1,2,1
16,1,2,55,2,1,1,1,2,1
16,1,2,55,2,1,1,1,2,1
15,1,2,55,2,1,1,1,2,1
15,1,2,55,2,1,1,1,2,1
15,0,1,55,2,1,1,1,2,1
15,0,1,55,2,1,1,1,2,1
17,0,2,50,2,1,1,1,2,1
17,0,2,50,2,1,1,1,2,1
17,0,2,50,2,1,1,1,2,1
17,0,2,50,2,1,1,1,2,1
16,0,2,50,2,1,1,1,2,1
16,0,2,50,2,1,1,1,2,1
16,0,2,50,2,1,1,1,2,1
15,0,2,50,2,1,1,1,2,1
15,0,2,50,2,1,1,1,2,1
17,1,2,50,2,1,1,1,2,1
17,1,2,50,2,1,1,1,2,1
17,1,2,50,2,1,1,1,2,1
17,1,2,50,2,1,1,1,2,1
17,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
16,1,2,50,2,1,1,1,2,1
15,1,2,50,2,1,1,1,2,1
15,1,2,50,2,1,1,1,2,1
15,1,2,50,2,1,1,1,2,1
15,1,2,50,2,1,1,1,2,1
17,0,2,40,2,1,1,1,2,1
17,0,2,40,2,1,1,1,2,1
16,0,2,40,2,1,1,1,2,1
15,0,2,40,2,1,1,1,2,1
15,0,2,40,2,1,1,1,2,1
17,1,2,40,2,1,1,1,2,1
16,1,2,40,2,1,1,1,2,1
16,1,2,40,2,1,1,1,2,1
15,1,2,40,2,1,1,1,2,1
15,1,2,40,2,1,1,1,2,1
15,1,2,40,2,1,1,1,2,1
17,0,1,40,2,1,1,1,2,1
17,1,1,40,2,1,1,1,2,1
16,1,1,40,2,1,1,1,2,1
15,1,1,40,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
17,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
16,0,2,30,2,1,1,1,2,1
15,0,2,30,2,1,1,1,2,1
15,0,2,30,2,1,1,1,2,1
15,0,2,30,2,1,1,1,2,1
15,0,2,30,2,1,1,1,2,1
15,0,2,30,2,1,1,1,2,1
15,0,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
17,1,2,30,2,1,1,1,2,1
16,1,2,30,2,1,1,1,2,1
